年份,省份,二氧化碳排放量,,,,,,,,,,,,国内生产总值状况,,,,,,,,,,,,,,,,,,,,,全社会固定资产投资,人口状况,,,
,,煤炭二氧化碳排放量,焦炭二氧化碳排放量,原油二氧化碳排放量,汽油二氧化碳排放量,煤油二氧化碳排放量,柴油二氧化碳排放量,燃料油二氧化碳排放量,液化石油气二氧化碳排放量,天然气二氧化碳排放量,二氧化碳排放总量,人均二氧化碳排放量,二氧化碳排放强度,,,,,,,,,,,,,,,,,,,,,,,,,,
,,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,吨/人,吨CO2/万元,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－住宿和餐饮业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人),人口出生率(‰)(没有单位),人口死亡率(‰)(没有单位),人口自然增长率(‰)(没有单位)
1991,湖北省,6360.7261,1093.4084,1537.8552,323.4749,36.902,513.5129,419.4889,,12.5564,10297.925,1.8683,11.275,913.38,279.3,359.86,327.5,32.36,274.22,47.37,86.66,,40.3,13.61,86.28,30.5787,39.3987,30.0226,1668,106.6,95.1,111.1,115.4,362.26,168.19,5512,20.7,7.36,13.34
1991,湖南省,7527.0812,712.3951,974.0606,161.7814,22.9005,274.5493,168.2901,,,9841.058,1.585,11.81,833.3,301.02,285.29,246.12,39.17,246.99,42.88,75.54,,29.78,18.23,80.56,36.1238,34.2362,29.64,1357,107.9,105.6,108.5,110.5,334.95,157.07,6209,20.5,7.3,13.2
1991,广东省,5690.9757,300.1367,2760.7306,414.6746,96.0363,857.7457,1158.9446,,,11279.244,1.7517,5.958,1893.3,416,782.67,675.55,107.12,694.63,138.54,185.77,,94.83,54.09,221.39,21.9722,41.3389,36.6889,2941,117.7,105.4,123.6,119.4,786.64,478.2,6439,20.54,5.95,14.59
1991,广西壮族自治区,2972.0174,318.9812,17.7811,97.2036,18.6484,171.8839,25.6176,,,3622.133,0.8377,6.985,518.59,195.17,141.02,123.66,17.36,182.4,30.65,62.03,,23.51,9.47,56.74,37.6347,27.193,35.1723,1211,112.7,108.8,115.9,114.8,200.23,89.65,4324,21.89,7.24,14.65
1991,海南省,129.3836,9.1931,,35.0858,3.8572,30.75,1.617,,,209.887,0.3114,1.742,120.52,49.8,24.71,15.23,9.48,46.01,8.01,15.15,,4.43,2.48,15.94,41.3209,20.5028,38.1762,1804,114.9,108.7,120.1,119.7,41.97,45.63,674,22.97,5.97,17
1991,四川省,12645.3442,1450.6799,50.4403,229.1415,62.4145,224.7975,21.9399,,1245.034,15929.792,1.4619,15.674,1016.31,339,376.48,331.37,45.11,300.83,60.96,91.58,,34.09,17.76,96.44,33.356,37.0438,29.6002,1283,109.1,108.5,106.3,113.4,387.72,204.28,10897,15.82,7.29,8.53
1991,贵州省,5154.4143,380.9273,,134.9252,14.8823,85.1205,15.1233,,102.6163,5888.009,1.7762,19.899,295.9,115.71,101.54,88.96,12.58,78.65,13.98,20.97,,12.56,4.5,26.64,39.1044,34.3156,26.5799,896,109.2,113.2,103.5,111.2,92.92,58.44,3315,22.42,8.11,14.31
1991,云南省,4174.5238,725.1108,,157.3005,17.7372,107.2841,5.7069,,98.07,5285.733,1.3976,10.216,517.41,169.48,179.56,162.32,17.24,168.37,23.7,52.76,,26.45,8.42,57.04,32.7555,34.7036,32.5409,1377,106.6,101.1,106.5,111,163.75,98.32,3782,21.8,8.1,13.7
1991,陕西省,5190.5656,281.8937,184.4338,136.1553,24.6317,143.4897,71.0192,,1.5154,6033.704,1.7941,12.882,468.37,116.88,197.54,168.28,29.26,153.95,35.36,35.7,,13.52,6.81,62.56,24.9546,42.1761,32.8693,1402,107.2,106.8,105.2,110.2,176.6,124.93,3363,19.82,6.51,13.31
1991,甘肃省,3535.2166,254.1711,1432.8619,108.3033,9.4153,119.5283,198.4416,,5.6287,5663.567,2.4786,20.869,271.39,66.55,111.91,97.19,14.72,92.93,12.45,31.17,,13.28,0.96,35.07,24.5219,41.2359,34.2422,1204,106.6,101.6,109,107.7,106.17,68.59,2285,19.38,6.05,13.33
